task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	83/967537	12614504	BIgMAGFlow:DECOMPRESS (SnakeMAGs)	COMPLETED	0	2024-04-11 17:12:21.890	4.4s	134ms	48.6%	3.1 MB	217.7 MB	1.9 MB	6.1 MB
3	e3/36b3ba	12614505	BIgMAGFlow:DECOMPRESS (ATLAS)	COMPLETED	0	2024-04-11 17:12:21.928	4.5s	40ms	38.6%	3.2 MB	217.6 MB	66 KB	340 B
1	4f/d94542	12614506	BIgMAGFlow:CHECKM2_DB	COMPLETED	0	2024-04-11 17:12:21.979	4.5s	0ms	31.1%	3.1 MB	5.4 MB	51.1 KB	242 B
4	1c/c8116e	12614507	BIgMAGFlow:DECOMPRESS (nf_core_mag)	COMPLETED	0	2024-04-11 17:12:22.007	4.5s	90ms	20.0%	3.3 MB	217.6 MB	81.9 KB	372 B
5	f5/f8529b	12614508	BIgMAGFlow:DECOMPRESS (MetaWRAP)	COMPLETED	0	2024-04-11 17:12:22.033	9.3s	192ms	59.7%	3.2 MB	217.7 MB	5.2 MB	16.7 MB
6	ca/79e2a6	12614509	BIgMAGFlow:DECOMPRESS (DATMA)	COMPLETED	0	2024-04-11 17:12:22.052	9.3s	64ms	13.3%	0	0	81.9 KB	366 B
7	ef/922d86	12614510	BIgMAGFlow:EMPTY_BINS (SnakeMAGs)	COMPLETED	0	2024-04-11 17:12:26.438	5s	99ms	9.2%	3.1 MB	217.3 MB	94.5 KB	354 B
8	d3/b01cd0	12614511	BIgMAGFlow:EMPTY_BINS (ATLAS)	COMPLETED	0	2024-04-11 17:12:26.543	4.9s	70ms	25.8%	3.1 MB	217.4 MB	81.4 KB	355 B
9	61/4b4a5e	12614512	BIgMAGFlow:EMPTY_BINS (nf_core_mag)	COMPLETED	0	2024-04-11 17:12:26.593	4.9s	93ms	10.0%	3.1 MB	217.4 MB	94.5 KB	355 B
10	c1/ce7a83	12614513	BIgMAGFlow:EMPTY_BINS (MetaWRAP)	COMPLETED	0	2024-04-11 17:12:31.395	4.9s	67ms	25.2%	3 MB	217.3 MB	67.2 KB	347 B
11	3f/a00970	12614514	BIgMAGFlow:EMPTY_BINS (DATMA)	COMPLETED	0	2024-04-11 17:12:31.424	5s	70ms	25.1%	2.9 MB	217.3 MB	67.2 KB	347 B
13	db/878510	12614516	BIgMAGFlow:CHANGE_DOT_FOR_UNDERSCORE (ATLAS)	COMPLETED	0	2024-04-11 17:12:31.546	4.9s	64ms	39.4%	3.1 MB	217.3 MB	129.6 KB	1.4 KB
14	3a/801ed2	12614517	BIgMAGFlow:CHANGE_DOT_FOR_UNDERSCORE (nf_core_mag)	COMPLETED	0	2024-04-11 17:12:31.575	4.9s	89ms	20.3%	3 MB	217.3 MB	104.7 KB	902 B
12	81/ab32db	12614515	BIgMAGFlow:CHANGE_DOT_FOR_UNDERSCORE (SnakeMAGs)	COMPLETED	0	2024-04-11 17:12:31.485	9.8s	77ms	22.9%	3.1 MB	217.3 MB	104.7 KB	662 B
16	ff/b67a97	12614519	BIgMAGFlow:CHANGE_DOT_FOR_UNDERSCORE (DATMA)	COMPLETED	0	2024-04-11 17:12:36.460	4.9s	108ms	25.7%	3.1 MB	217.3 MB	207.8 KB	2.9 KB
15	79/7077ff	12614518	BIgMAGFlow:CHANGE_DOT_FOR_UNDERSCORE (MetaWRAP)	COMPLETED	0	2024-04-11 17:12:36.395	9.9s	83ms	21.0%	3 MB	217.4 MB	145.6 KB	1.1 KB
23	e3/922ffc	12614521	BIgMAGFlow:QUAST (nf_core_mag)	COMPLETED	0	2024-04-11 17:12:36.590	14.7s	8.1s	84.8%	147.9 MB	1.4 GB	4.9 GB	9.8 MB
17	a1/984760	12614525	BIgMAGFlow:QUAST (ATLAS)	COMPLETED	0	2024-04-11 17:12:36.676	14.7s	6.7s	109.9%	156.1 MB	1.4 GB	5.2 GB	10 MB
30	a9/b65edf	12614534	BIgMAGFlow:QUAST (SnakeMAGs)	COMPLETED	0	2024-04-11 17:12:41.506	10s	7s	103.8%	154.1 MB	1.4 GB	3.7 GB	11.2 MB
32	7b/9c7336	12614535	BIgMAGFlow:QUAST (DATMA)	COMPLETED	0	2024-04-11 17:12:41.523	14.8s	8.6s	125.1%	171.4 MB	1.4 GB	9.9 GB	5.1 MB
40	94/aa4a46	12614544	BIgMAGFlow:QUAST (MetaWRAP)	COMPLETED	0	2024-04-11 17:12:46.468	14.9s	8.5s	131.3%	290.2 MB	1.5 GB	6.8 GB	22 MB
