	sample	Bin	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	"other_related_references(genome_id,species_name,radius,ANI,AF)"	msa_percent	translation_table	red_value	warnings	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
0	ATLAS	SRR8359173_metabat_01	bacteria_odb10	3.2	3.2	0	4.8	92	124	2008	2008	0.00%	191	15.01	0.01	Neural Network (Specific Model)	11	0.858	2008	226.9593496	389670	0.33	492	None	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	GCF_001027105.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	99.93	0.941							ani_screen	classification based on ANI only						494	488	191	family	0.98	0.97	1	0.03	0.05	0.99	0.96	FALSE	191	191	0	0	0	0	389670	389670	0	0	0	0	191	4740	389670	33.43	2008	1583	2174.9	78	166	0
1	ATLAS	SRR8359173_metabat_02	bacteria_odb10	35.5	35.5	0	10.5	54	124	2009	2009	0.00%	469	21.67	1.18	Neural Network (Specific Model)	11	0.834	2009	235.01996527777777	971535	0.3	1152	None	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium beijerinckii	GCF_018223745.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium beijerinckii	97.63	0.679							ani_screen	classification based on ANI only	"GCF_000621745.1, s__Clostridium beijerinckii_A, 95.0, 93.71, 0.548; GCF_013296325.1, s__Clostridium beijerinckii_E, 95.0, 95.76, 0.596"					1165	1134	469	class	0.99	0.97	0.97	0.18	0.41	0.93	0.9	FALSE	469	469	2	0	0	0	971535	971535	11066	0	0	0	469	5811	971535	30.38	2009	1577	2260	186	406	0
2	ATLAS	SRR8359173_metabat_03	bacteria_odb10	12.9	12.9	0	13.7	73.4	124	2027	2027	0.00%	528	17.63	0.05	Neural Network (Specific Model)	11	0.899	2027	231.93950177935943	1085610	0.67	1405	None	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas paraeruginosa	GCF_002601815.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas paraeruginosa	99.97	0.996							ani_screen	classification based on ANI only	"GCF_001457615.1, s__Pseudomonas aeruginosa, 95.0, 94.18, 0.74"					1408	1387	528	order	0.99	0.97	0.77	0.02	0.04	0.93	0.91	FALSE	528	528	1	0	0	0	1085610	1085610	6024	0	0	0	528	6024	1085610	67.37	2027	1578	2203.7	213	458	0
3	ATLAS	SRR8359173_metabat_04	bacteria_odb10	7.3	7.3	0	4	88.7	124	2199	2199	0.00%	149	13.15	0	Neural Network (Specific Model)	11	0.915	2199	220.82666666666665	325247	0.36	450	None	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae	GCF_000186445.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae	99.16	0.873							ani_screen	classification based on ANI only						445	440	149	order	0.99	0.98	1	0.03	0.06	0.99	0.97	FALSE	149	149	0	0	0	0	325247	325247	0	0	0	0	149	4567	325247	35.77	2199	1618	2351	59	129	0
4	ATLAS	SRR8359173_metabat_08	bacteria_odb10	91.9	91.1	0.8	0	8.1	124	63590	63590	0.00%	113	95.77	0.19	Neural Network (Specific Model)	11	0.892	63590	306.7918377203574	4265983	0.69	4141	None	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cereibacter_A;s__Cereibacter_A sphaeroides	GCF_000012905.2	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cereibacter_A;s__Cereibacter_A sphaeroides	98.22	0.91							ani_screen	classification based on ANI only	"GCF_900207575.1, s__Cereibacter_A ovatus, 95.0, 82.2, 0.258; GCF_003034985.1, s__Cereibacter changlensis, 95.0, 81.69, 0.204; GCF_002407205.1, s__Cereibacter_A sp002407205, 95.0, 84.84, 0.386; GCF_003050905.1, s__Cereibacter_A azotoformans, 95.0, 87.33, 0.502; GCF_001720585.1, s__Cereibacter_A johrii, 95.0, 94.89, 0.862"					4181	4087	113	order	0.99	0.97	0.48	0.02	0.05	0.95	0.92	FALSE	113	113	96	77	54	31	4265983	4265983	4209829	4071182	3695288	2833703	113	257460	4265983	69.25	63590	19122	87872.1	19	61	0
5	DATMA	round_0_b70_clameBin_0_contigs	bacteria_odb10	1.6	1.6	0	3.2	95.2	124	1035	1035	0.00%	200	4.24	0	Neural Network (Specific Model)	4	0.782	1035	151.00651465798046	176450	0.48	307	None	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	GCF_000010505.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	99.91	0.61							ani_screen	classification based on ANI only						273	248	161	order	0.96	0.87	1	0.42	1.65	0.95	0.83	FALSE	200	37	5	2	0	0	176450	91817	45165	23761	0	0	200	13021	176450	48.29	1035	389	3217.6	34	149	0
6	DATMA	round_1_b50_clameBin_0_contigs	bacteria_odb10	0	0	0	0.8	99.2	124	918	918	0.00%	178	3.54	0.06	Neural Network (Specific Model)	11	0.761	918	136.7832699619772	141156	0.35	263	None	Unclassified																		No bacterial or archaeal marker	266	256	172	class	0.99	0.95	1	0.14	0.34	0.96	0.91	FALSE	178	39	0	0	0	0	141156	65100	0	0	0	0	178	3588	141156	34.52	918	401	1235.6	45	138	0
7	DATMA	round_2_b30_clameBin_0_contigs	bacteria_odb10	1.6	1.6	0	3.2	95.2	124	1235	1235	0.00%	150	6.53	0.17	Neural Network (Specific Model)	11	0.848	1235	163.0443548387097	142456	0.41	248	None	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mutans	GCF_006739205.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mutans	99.61	0.85							ani_screen	classification based on ANI only						251	243	144	class	1	0.96	1	0.12	0.26	0.99	0.95	FALSE	150	52	0	0	0	0	142456	89897	0	0	0	0	150	3738	142456	40.55	1235	462	1479.8	36	111	0
8	DATMA	round_2_b30_clameBin_1_contigs	bacteria_odb10	23.4	20.2	3.2	25.8	50.8	124	1235	1235	0.00%	2412	43.17	7.38	Gradient Boost (General Model)	11	0.861	1235	170.46343341031562	2306918	0.55	3897	None	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cereibacter_A;s__											d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cereibacter_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	"GCF_000012905.2, s__Cereibacter_A sphaeroides, 95.0, 98.0, 0.312; GCF_001720585.1, s__Cereibacter_A johrii, 95.0, 95.12, 0.281"	23.34	11	0.99798	Genome has more than 12.5% of markers with multiple hits	3985	3871	2347	phylum	1	0.97	1	0.23	0.62	0.97	0.94	FALSE	2412	787	6	0	0	0	2306918	1377279	35005	0	0	0	2412	6773	2306918	54.63	1235	466	1496.3	587	1803	0
9	DATMA	round_2_b30_clameBin_3_contigs	bacteria_odb10	3.2	3.2	0	3.2	93.6	124	1369	1369	0.00%	291	7.25	0	Neural Network (Specific Model)	11	0.856	1369	174.94612068965515	283868	0.68	464	None	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cereibacter_A;s__Cereibacter_A sphaeroides	GCF_000012905.2	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cereibacter_A;s__Cereibacter_A sphaeroides	98.22	0.897							ani_screen	classification based on ANI only						490	482	287	class	1	0.98	1	0.09	0.18	0.99	0.97	FALSE	291	91	2	0	0	0	283868	177284	11464	0	0	0	291	5847	283868	68.48	1369	457	1731.3	63	204	0
